ID,Age
1197,17
1199,42
1200,24
1201,23
1202,23
1204,28
1205,43
1206,49
1208,25
1209,10
1210,21
1211,38
1215,7
1216,39
1217,38
1219,12
1220,6
1222,34
1223,40
1224,34
1225,21
1227,10
1228,41
1229,20
1231,42
1232,5
1233,11
1234,12
1235,53
1236,48
1237,7
1239,43
1240,19
1242,18
1244,7
1245,22
1247,23
1249,33
1251,32
1253,8
1254,24
1255,55
1256,11
1257,12
1258,21
1259,31
1261,31
1262,43
1263,12
1264,7
1265,23
1266,23
1272,21
1274,7
1275,10
1276,41
1278,68
1280,26
1282,16
1283,9
1284,11
1285,43
1287,33
1293,35
1300,26
1301,10
1302,29
1303,10
1304,8
1307,28
1309,28
1310,71
1311,70
1312,41
1313,25
1315,23
1317,11
1318,53
1319,47
1321,8
1323,6
1324,46
1325,44
1326,12
1327,38
1328,39
1329,7
1330,32
1336,6
1337,38
1341,7
1342,24
1343,25
1346,9
1347,29
1348,5
1349,36
1350,8
1352,21
1353,21
1354,68
1355,37
1356,27
1357,25
1358,13
1360,43
1361,8
1362,7
1365,22
1366,27
1368,28
1369,9
1370,9
1371,41
1372,40
1374,5
1375,38
1376,37
1377,23
1378,42
1379,23
1380,41
1381,40
1383,68
1384,27
1386,28
1387,29
1388,23
1389,43
1390,10
1391,9
1392,38
1393,34
1397,6
1399,33
1400,31
1402,8
1403,12
1404,16
1405,12
1407,47
1408,41
1409,26
1411,27
1412,24
1413,27
1414,25
1415,23
1416,24
1417,60
1419,61
1420,64
1421,62
1422,31
1423,36
1424,9
1427,23
1428,42
1429,9
1430,40
1431,51
1434,46
1436,36
1437,24
1439,24
1440,28
1441,23
1442,8
1445,25
1451,25
1452,25
1454,46
1455,8
1456,48
1457,46
1458,8
1459,40
1460,7
1462,13
1464,15
1465,6
1467,45
1469,50
1470,26
1471,27
1475,49
1476,28
1478,35
1479,38
1480,8
1481,10
1482,11
1483,50
1484,11
1485,45
1486,39
1487,8
1488,15
1489,5
1490,16
1491,11
1494,16
1495,41
1497,14
1504,8
1505,36
1510,17
1512,46
1517,14
1518,14
1519,14
1520,14
1521,24
1522,15
1523,23
1524,40
1525,5
1526,7
1527,25
1528,11
1529,24
1530,40
